peak	seqnames	start	end	annotation	distanceToTSS	SYMBOL	GENENAME
chr2:103644024-103644524	chr2	103644024	103644524	Intron (ENSMUST00000076212.3/99382, intron 1 of 16)	-70511	Abtb2	ankyrin repeat and BTB domain containing 2
chr2:109558702-109559202	chr2	109558702	109559202	Distal Intergenic	-115498	Bdnf	brain derived neurotrophic factor
chr2:109855565-109856065	chr2	109855565	109856065	Distal Intergenic	-34788	Lin7c	lin-7 homolog C, crumbs cell polarity complex component
chr2:113493475-113493975	chr2	113493475	113493975	Intron (ENSMUST00000099576.8/14260, intron 5 of 18)	52411	Fmn1	formin 1
chr2:113695086-113695586	chr2	113695086	113695586	Exon (ENSMUST00000123377.1/75166, exon 4 of 6)	9981	Fmn1	formin 1
chr2:114519927-114520427	chr2	114519927	114520427	Intron (ENSMUST00000028640.13/66632, intron 6 of 7)	25464	Dph6	diphthamine biosynthesis 6
chr2:114990522-114991022	chr2	114990522	114991022	Intron (ENSMUST00000144368.1/ENSMUST00000144368.1, intron 7 of 8)	-335558	Dph6	diphthamine biosynthesis 6
chr2:116964070-116964570	chr2	116964070	116964570	Distal Intergenic	63876	D330050G23Rik	RIKEN cDNA D330050G23 gene
chr2:117591228-117591728	chr2	117591228	117591728	Distal Intergenic	221085	Gm13985	predicted gene 13985
chr2:117867037-117867537	chr2	117867037	117867537	Intron (ENSMUST00000149239.1/73938, intron 2 of 5)	45109	4930412B13Rik	RIKEN cDNA 4930412B13 gene
chr2:122587875-122588375	chr2	122587875	122588375	Distal Intergenic	10159	Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
chr2:123387163-123387663	chr2	123387163	123387663	Distal Intergenic	587401	Sqor	sulfide quinone oxidoreductase
chr2:137333792-137334292	chr2	137333792	137334292	Distal Intergenic	-217148	Jag1	jagged 1
chr2:139891461-139891961	chr2	139891461	139891961	Intron (ENSMUST00000046656.8/75812, intron 11 of 13)	150253	Tasp1	taspase, threonine aspartase 1
chr2:140107743-140108243	chr2	140107743	140108243	Distal Intergenic	-40938	Tasp1	taspase, threonine aspartase 1
chr2:145117656-145118156	chr2	145117656	145118156	Distal Intergenic	-49598	Slc24a3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
chr2:148236487-148236987	chr2	148236487	148236987	Distal Intergenic	-158357	Sstr4	somatostatin receptor 4
chr2:149998604-149999104	chr2	149998604	149999104	Intron (ENSMUST00000109935.7/433485, intron 3 of 3)	137538	Zfp120	zinc finger protein 120
chr2:150319726-150320226	chr2	150319726	150320226	Intron (ENSMUST00000238230.1/ENSMUST00000238230.1, intron 1 of 3)	42507	3300002I08Rik	RIKEN cDNA 3300002I08 gene
chr2:152971715-152972215	chr2	152971715	152972215	Promoter (<=1kb)	-73	Ttll9	tubulin tyrosine ligase-like family, member 9
chr2:160321487-160321987	chr2	160321487	160321987	Intron (ENSMUST00000138905.1/329554, intron 1 of 2)	5507	Gm826	predicted gene 826
chr2:161061285-161061785	chr2	161061285	161061785	Intron (ENSMUST00000039782.13/71389, intron 1 of 36)	-8707	Chd6	chromodomain helicase DNA binding protein 6
chr2:164855836-164856336	chr2	164855836	164856336	Promoter (<=1kb)	460	Pltp	phospholipid transfer protein
chr2:166986533-166987033	chr2	166986533	166987033	Intron (ENSMUST00000109235.7/20853, intron 1 of 11)	9070	Stau1	staufen double-stranded RNA binding protein 1
chr2:168565398-168565898	chr2	168565398	168565898	Intron (ENSMUST00000074618.9/18019, intron 3 of 9)	-13122	Nfatc2	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2
chr2:171660369-171660869	chr2	171660369	171660869	Distal Intergenic	301262	1700028P15Rik	RIKEN cDNA 1700028P15 gene
chr2:172042038-172042538	chr2	172042038	172042538	Promoter (<=1kb)	928	Cbln4	cerebellin 4 precursor protein
chr2:172413268-172413768	chr2	172413268	172413768	Intron (ENSMUST00000099061.8/320664, intron 1 of 4)	19367	Cass4	Cas scaffolding protein family member 4
chr2:177900617-177901117	chr2	177900617	177901117	Intron (ENSMUST00000108935.7/665205, intron 1 of 2)	3521	Zfp1003	zinc finger protein 1003
chr3:4866044-4866544	chr3	4866044	4866544	Distal Intergenic	66551	1110015O18Rik	RIKEN cDNA 1110015O18 gene
chr3:5398932-5399432	chr3	5398932	5399432	Exon (ENSMUST00000175866.7/80892, exon 10 of 11)	157260	Zfhx4	zinc finger homeodomain 4
chr3:6003781-6004281	chr3	6003781	6004281	Distal Intergenic	-427542	Pex2	peroxisomal biogenesis factor 2
chr3:7815710-7816210	chr3	7815710	7816210	Distal Intergenic	138672	1700010I02Rik	RIKEN cDNA 1700010I02 gene
chr3:9217627-9218127	chr3	9217627	9218127	Distal Intergenic	-32475	Zbtb10	zinc finger and BTB domain containing 10
chr3:9357590-9358090	chr3	9357590	9358090	Distal Intergenic	-44974	C030034L19Rik	RIKEN cDNA C030034L19 gene
chr3:16215928-16216428	chr3	16215928	16216428	3' UTR	32692	Ythdf3	YTH N6-methyladenosine RNA binding protein 3
chr3:22190476-22190976	chr3	22190476	22190976	Exon (ENSMUST00000193734.5/81004, exon 7 of 17)	-12216	Tbl1xr1	Tbl1x/y related 1
chr3:22780673-22781173	chr3	22780673	22781173	Distal Intergenic	529299	Rprl2	ribonuclease P RNA-like 2
chr3:23063456-23063956	chr3	23063456	23063956	Distal Intergenic	812082	Rprl2	ribonuclease P RNA-like 2
chr3:27507856-27508356	chr3	27507856	27508356	Intron (ENSMUST00000195008.5/72007, intron 8 of 26)	76639	Mir3092	microRNA 3092
chr3:28556103-28556603	chr3	28556103	28556603	Intron (ENSMUST00000160934.7/665113, intron 9 of 31)	-73269	Tnik	TRAF2 and NCK interacting kinase
chr3:33093970-33094470	chr3	33093970	33094470	Intron (ENSMUST00000108226.7/58869, intron 1 of 12)	-10910	Pex5l	peroxisomal biogenesis factor 5-like
chr3:33111172-33111672	chr3	33111172	33111672	Intron (ENSMUST00000108226.7/58869, intron 1 of 12)	-28112	Pex5l	peroxisomal biogenesis factor 5-like
chr3:35184254-35184754	chr3	35184254	35184754	Distal Intergenic	-261603	Mir6378	microRNA 6378
chr3:35703979-35704479	chr3	35703979	35704479	Distal Intergenic	-37816	Gm6639	predicted gene 6639
chr3:36079557-36080057	chr3	36079557	36080057	Promoter (<=1kb)	-89	Acad9	acyl-Coenzyme A dehydrogenase family, member 9
chr3:36962794-36963294	chr3	36962794	36963294	Intron (ENSMUST00000057272.14/229227, intron 37 of 85)	16573	Bltp1	bridge-like lipid transfer protein family member 1
chr3:40206506-40207006	chr3	40206506	40207006	Distal Intergenic	302768	1700017G19Rik	RIKEN cDNA 1700017G19 gene
chr3:41332314-41332814	chr3	41332314	41332814	Distal Intergenic	160376	Platr4	pluripotency associated transcript 4
chr3:42131616-42132116	chr3	42131616	42132116	Distal Intergenic	380420	D3Ertd751e	DNA segment, Chr 3, ERATO Doi 751, expressed
chr3:49834390-49834890	chr3	49834390	49834890	Distal Intergenic	-77065	Pcdh18	protocadherin 18
chr3:51327449-51327949	chr3	51327449	51327949	Promoter (1-2kb)	-1420	Elf2	E74-like factor 2
chr3:53789402-53789902	chr3	53789402	53789902	Distal Intergenic	73787	Ufm1	ubiquitin-fold modifier 1
chr3:54517741-54518241	chr3	54517741	54518241	Distal Intergenic	128852	Postn	periostin, osteoblast specific factor
chr3:55909217-55909717	chr3	55909217	55909717	Intron (ENSMUST00000199747.1/ENSMUST00000199747.1, intron 1 of 1)	61953	4933417G07Rik	SEC13 homolog pseudogene
chr3:58106424-58106924	chr3	58106424	58106924	Distal Intergenic	56883	1700007F19Rik	RIKEN cDNA 1700007F19 gene
chr3:58267517-58268017	chr3	58267517	58268017	Distal Intergenic	-103710	1700007F19Rik	RIKEN cDNA 1700007F19 gene
chr3:58315163-58315663	chr3	58315163	58315663	Exon (ENSMUST00000199863.1/ENSMUST00000199863.1, exon 1 of 1)	-99052	Tsc22d2	TSC22 domain family, member 2
chr3:58426871-58427371	chr3	58426871	58427371	Intron (ENSMUST00000099090.6/72033, intron 1 of 3)	9387	Tsc22d2	TSC22 domain family, member 2
chr3:61072991-61073491	chr3	61072991	61073491	Distal Intergenic	70196	P2ry1	purinergic receptor P2Y, G-protein coupled 1
chr3:61915340-61915840	chr3	61915340	61915840	Distal Intergenic	-422504	Arhgef26	Rho guanine nucleotide exchange factor 26
chr3:67490125-67490625	chr3	67490125	67490625	Intron (ENSMUST00000054825.4/109222, intron 3 of 5)	24898	Rarres1	retinoic acid receptor responder (tazarotene induced) 1
chr3:67591335-67591835	chr3	67591335	67591835	Intron (ENSMUST00000029344.9/66868, intron 6 of 15)	6589	Mfsd1	major facilitator superfamily domain containing 1
chr3:70404751-70405251	chr3	70404751	70405251	Distal Intergenic	397138	Otol1	otolin 1
chr3:70873511-70874011	chr3	70873511	70874011	Distal Intergenic	865898	Otol1	otolin 1
chr3:79494215-79494715	chr3	79494215	79494715	Intron (ENSMUST00000133154.6/329679, intron 9 of 17)	5807	Fnip2	folliculin interacting protein 2
chr3:85833072-85833572	chr3	85833072	85833572	Intron (ENSMUST00000154148.7/99889, intron 1 of 9)	-15781	Fhip1a	FHF complex subunit HOOK interacting protein 1A
chr3:87893714-87894214	chr3	87893714	87894214	Distal Intergenic	-8106	Prcc	papillary renal cell carcinoma (translocation-associated)
chr3:89123313-89123813	chr3	89123313	89123813	Distal Intergenic	-12329	Pklr	pyruvate kinase liver and red blood cell
chr3:90267031-90267531	chr3	90267031	90267531	Promoter (<=1kb)	0	Dennd4b	DENN domain containing 4B
chr3:91150743-91151243	chr3	91150743	91151243	Distal Intergenic	-59940	S100a7l2	S100 calcium binding protein A7 like 2
chr3:91483256-91483756	chr3	91483256	91483756	Distal Intergenic	-392453	S100a7l2	S100 calcium binding protein A7 like 2
chr3:96409762-96410262	chr3	96409762	96410262	Distal Intergenic	4571	Terc	telomerase RNA component
chr3:101408852-101409352	chr3	101408852	101409352	Exon (ENSMUST00000197514.1/ENSMUST00000197514.1, exon 1 of 1)	30514	Igsf3	immunoglobulin superfamily, member 3
chr3:103757182-103757682	chr3	103757182	103757682	Intron (ENSMUST00000118317.7/15257, intron 8 of 15)	-6168	Hipk1	homeodomain interacting protein kinase 1
chr3:108917047-108917547	chr3	108917047	108917547	Distal Intergenic	-5320	Prpf38b	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B
chr3:109352297-109352797	chr3	109352297	109352797	Intron (ENSMUST00000046864.13/57257, intron 1 of 26)	11191	Vav3	vav guanine nucleotide exchange factor 3
chr3:109478141-109478641	chr3	109478141	109478641	Intron (ENSMUST00000046864.13/57257, intron 2 of 26)	-16143	Vav3	vav guanine nucleotide exchange factor 3
chr3:117161328-117161828	chr3	117161328	117161828	Distal Intergenic	-83563	1700061I17Rik	RIKEN cDNA 1700061I17 gene
chr3:117988497-117988997	chr3	117988497	117988997	Distal Intergenic	-119561	Snx7	sorting nexin 7
chr3:121449438-121449938	chr3	121449438	121449938	Promoter (<=1kb)	0	Cnn3	calponin 3, acidic
chr3:122453968-122454468	chr3	122453968	122454468	Intron (ENSMUST00000029766.8/29815, intron 2 of 11)	-29255	Bcar3	breast cancer anti-estrogen resistance 3
chr3:123256337-123256837	chr3	123256337	123256837	Distal Intergenic	-10618	Sec24d	SEC24 homolog D, COPII coat complex component
chr3:124076282-124076782	chr3	124076282	124076782	Distal Intergenic	-244073	Tram1l1	translocation associated membrane protein 1-like 1
chr3:126154243-126154743	chr3	126154243	126154743	Distal Intergenic	-208941	Arsj	arylsulfatase J
chr3:126953090-126953590	chr3	126953090	126953590	Promoter (2-3kb)	2283	Ank2	ankyrin 2, brain
chr3:128049680-128050180	chr3	128049680	128050180	Distal Intergenic	83180	D030025E07Rik	RIKEN cDNA D030025E07 gene
chr3:135127503-135128003	chr3	135127503	135128003	Distal Intergenic	-84534	Cenpe	centromere protein E
chr3:135526605-135527105	chr3	135526605	135527105	Intron (ENSMUST00000131610.7/110173, intron 8 of 13)	3670	Manba	mannosidase, beta A, lysosomal
chr3:139262183-139262683	chr3	139262183	139262683	Intron (ENSMUST00000106239.7/381476, intron 6 of 13)	56290	Stpg2	sperm tail PG rich repeat containing 2
chr3:143040556-143041056	chr3	143040556	143041056	Exon (ENSMUST00000200254.1/102636203, exon 5 of 5)	9942	4930519L02Rik	RIKEN cDNA 4930519L02 gene
chr3:145821827-145822327	chr3	145821827	145822327	Intron (ENSMUST00000029845.14/69219, intron 1 of 5)	11348	Ddah1	dimethylarginine dimethylaminohydrolase 1
chr3:146307408-146307908	chr3	146307408	146307908	Distal Intergenic	71036	Gm10636	predicted gene 10636
chr3:148595999-148596499	chr3	148595999	148596499	Distal Intergenic	226480	Adgrl2	adhesion G protein-coupled receptor L2
chr3:152551485-152551985	chr3	152551485	152551985	Intron (ENSMUST00000045262.10/229949, intron 6 of 13)	-24733	Ak5	adenylate kinase 5
chr3:152557196-152557696	chr3	152557196	152557696	Intron (ENSMUST00000045262.10/229949, intron 6 of 13)	-30444	Ak5	adenylate kinase 5
chr3:154722799-154723299	chr3	154722799	154723299	Intron (ENSMUST00000098496.8/209601, intron 8 of 13)	10934	Erich3	glutamate rich 3
chr3:156731668-156732168	chr3	156731668	156732168	Exon (ENSMUST00000199676.1/ENSMUST00000199676.1, exon 1 of 1)	169518	Negr1	neuronal growth regulator 1
chr3:157121731-157122231	chr3	157121731	157122231	Intron (ENSMUST00000074015.10/320840, intron 4 of 6)	411859	4930592C13Rik	RIKEN cDNA 4930592C13 gene
chr3:157883913-157884413	chr3	157883913	157884413	Distal Intergenic	13299	Cth	cystathionine gamma lyase
chr4:3639340-3639840	chr4	3639340	3639840	Distal Intergenic	-16668	2210414B05Rik	RIKEN cDNA 2210414B05 gene
chr4:10210864-10211364	chr4	10210864	10211364	Distal Intergenic	-293229	4930448K20Rik	glyceraldehyde-3-phosphate dehydrogenase pseudogene
chr4:10242626-10243126	chr4	10242626	10243126	Distal Intergenic	-324991	4930448K20Rik	glyceraldehyde-3-phosphate dehydrogenase pseudogene
chr4:11869613-11870113	chr4	11869613	11870113	Distal Intergenic	95708	Pdp1	pyruvate dehydrogenase phosphatase catalytic subunit 1
chr4:11972474-11972974	chr4	11972474	11972974	Intron (ENSMUST00000154194.1/100503636, intron 1 of 1)	5900	1700123M08Rik	RIKEN cDNA 1700123M08 gene
chr4:13455012-13455512	chr4	13455012	13455512	Distal Intergenic	-287924	Runx1t1	RUNX1 translocation partner 1
chr4:15951962-15952462	chr4	15951962	15952462	Distal Intergenic	-5463	Nbn	nibrin
chr4:18775071-18775571	chr4	18775071	18775571	Intron (ENSMUST00000133363.1/ENSMUST00000133363.1, intron 4 of 10)	346955	Cnbd1	cyclic nucleotide binding domain containing 1
chr4:22112583-22113083	chr4	22112583	22113083	Distal Intergenic	154127	Faxc	failed axon connections homolog
chr4:23615821-23616321	chr4	23615821	23616321	Distal Intergenic	-880130	Mms22l	MMS22-like, DNA repair protein
chr4:23773123-23773623	chr4	23773123	23773623	Distal Intergenic	-722828	Mms22l	MMS22-like, DNA repair protein
chr4:25199790-25200290	chr4	25199790	25200290	3' UTR	42586	Fhl5	four and a half LIM domains 5
chr4:29074032-29074532	chr4	29074032	29074532	Intron (ENSMUST00000154813.1/102634169, intron 2 of 2)	5953	Gm11917	predicted gene 11917
chr4:32409019-32409519	chr4	32409019	32409519	Intron (ENSMUST00000108180.8/12014, intron 2 of 6)	-7916	Bach2	BTB and CNC homology, basic leucine zipper transcription factor 2
chr4:34226109-34226609	chr4	34226109	34226609	Distal Intergenic	-175918	Spaca1	sperm acrosome associated 1
chr4:34425854-34426354	chr4	34425854	34426354	Distal Intergenic	-124583	Akirin2	akirin 2
chr4:39098782-39099282	chr4	39098782	39099282	Distal Intergenic	-243299	Gm12381	predicted gene 12381
chr4:47670548-47671048	chr4	47670548	47671048	Distal Intergenic	195600	Sec61b	SEC61 translocon subunit beta
chr4:52365657-52366157	chr4	52365657	52366157	Distal Intergenic	72808	Smc2os	structural maintenance of chromosomes 2, opposite strand
chr4:57156142-57156642	chr4	57156142	57156642	Distal Intergenic	-12705	Epb41l4b	erythrocyte membrane protein band 4.1 like 4b
chr4:59851064-59851564	chr4	59851064	59851564	Intron (ENSMUST00000030080.6/209131, intron 1 of 8)	-33130	Snx30	sorting nexin family member 30
chr4:70289041-70289541	chr4	70289041	70289541	Intron (ENSMUST00000144099.7/214444, intron 20 of 36)	-24361	Cdk5rap2	CDK5 regulatory subunit associated protein 2
chr4:71946148-71946648	chr4	71946148	71946648	Distal Intergenic	174086	Tle1	transducin-like enhancer of split 1
chr4:72049757-72050257	chr4	72049757	72050257	Distal Intergenic	70477	Tle1	transducin-like enhancer of split 1
chr4:72113014-72113514	chr4	72113014	72113514	Distal Intergenic	7220	Tle1	transducin-like enhancer of split 1
chr4:72144411-72144911	chr4	72144411	72144911	Intron (ENSMUST00000074216.13/21885, intron 9 of 19)	-3098	Tle1	transducin-like enhancer of split 1
chr4:76735720-76736220	chr4	76735720	76736220	Intron (ENSMUST00000107287.8/19266, intron 9 of 14)	-141421	Ptprd	protein tyrosine phosphatase receptor type D
chr4:83154205-83154705	chr4	83154205	83154705	Distal Intergenic	78465	Ttc39b	tetratricopeptide repeat domain 39B
chr4:86712653-86713153	chr4	86712653	86713153	Distal Intergenic	-35402	Dennd4c	DENN domain containing 4C
chr4:89078504-89079004	chr4	89078504	89079004	Intron (ENSMUST00000146678.1/100040617, intron 2 of 2)	19708	Wincr1	WNT induced non-coding RNA 1
chr4:94138675-94139175	chr4	94138675	94139175	Intron (ENSMUST00000126270.1/ENSMUST00000126270.1, intron 4 of 5)	417591	Caap1	caspase activity and apoptosis inhibitor 1
chr4:94188537-94189037	chr4	94188537	94189037	Intron (ENSMUST00000126270.1/ENSMUST00000126270.1, intron 2 of 5)	367729	Caap1	caspase activity and apoptosis inhibitor 1
chr4:95015065-95015565	chr4	95015065	95015565	Intron (ENSMUST00000149367.1/ENSMUST00000149367.1, intron 3 of 4)	-35965	Mysm1	myb-like, SWIRM and MPN domains 1
chr4:96899585-96900085	chr4	96899585	96900085	Distal Intergenic	-114399	Gm12695	predicted gene 12695
chr4:101491102-101491602	chr4	101491102	101491602	Distal Intergenic	-5029	Dnajc6	DnaJ heat shock protein family (Hsp40) member C6
chr4:102964510-102965010	chr4	102964510	102965010	Promoter (2-3kb)	2154	Sgip1	SH3-domain GRB2-like (endophilin) interacting protein 1
chr4:104893737-104894237	chr4	104893737	104894237	Distal Intergenic	-17339	C8a	complement component 8, alpha polypeptide
chr4:115534607-115535107	chr4	115534607	115535107	Distal Intergenic	16319	Cyp4a10	cytochrome P450, family 4, subfamily a, polypeptide 10
chr4:115596573-115597073	chr4	115596573	115597073	Distal Intergenic	-3896	Cyp4a32	cytochrome P450, family 4, subfamily a, polypeptide 32
chr4:115659002-115659502	chr4	115659002	115659502	Distal Intergenic	-11279	Cyp4b1	cytochrome P450, family 4, subfamily b, polypeptide 1
chr4:115881869-115882369	chr4	115881869	115882369	Promoter (2-3kb)	-2031	Kncn	kinocilin
chr4:116005578-116006078	chr4	116005578	116006078	Exon (ENSMUST00000125761.7/14073, exon 3 of 15)	-5510	Faah	fatty acid amide hydrolase
chr4:120033423-120033923	chr4	120033423	120033923	Promoter (<=1kb)	657	Hivep3	human immunodeficiency virus type I enhancer binding protein 3
chr4:120101750-120102250	chr4	120101750	120102250	Intron (ENSMUST00000106307.8/16656, intron 4 of 8)	7261	Hivep3	human immunodeficiency virus type I enhancer binding protein 3
chr4:120568572-120569072	chr4	120568572	120569072	Promoter (1-2kb)	1204	Ctps1	cytidine 5'-triphosphate synthase 1
chr4:121009158-121009658	chr4	121009158	121009658	Intron (ENSMUST00000043200.7/69780, intron 1 of 9)	7589	Smap2	small ArfGAP 2
chr4:122907421-122907921	chr4	122907421	122907921	Distal Intergenic	-21365	Cap1	cyclase associated actin cytoskeleton regulatory protein 1
chr4:123479536-123480036	chr4	123479536	123480036	Intron (ENSMUST00000097897.10/11426, intron 35 of 97)	-3169	Macf1	microtubule-actin crosslinking factor 1
chr4:124667019-124667519	chr4	124667019	124667519	Distal Intergenic	10212	Pou3f1	POU domain, class 3, transcription factor 1
chr4:127888973-127889473	chr4	127888973	127889473	Distal Intergenic	81478	CK137956	cDNA sequence CK137956
chr4:128694449-128694949	chr4	128694449	128694949	Intron (ENSMUST00000030588.12/54383, intron 1 of 14)	5654	Phc2	polyhomeotic 2
chr4:132292066-132292566	chr4	132292066	132292566	Intron (ENSMUST00000030731.10/66464, intron 5 of 5)	10819	Rab42	RAB42, member RAS oncogene family
chr4:133962945-133963445	chr4	133962945	133963445	Distal Intergenic	3798	Hmgn2	high mobility group nucleosomal binding domain 2
chr4:135655635-135656135	chr4	135655635	135656135	Distal Intergenic	28382	1700029M20Rik	RIKEN cDNA 1700029M20 gene
chr4:143220773-143221273	chr4	143220773	143221273	Distal Intergenic	-7778	Prdm2	PR domain containing 2, with ZNF domain
chr4:148016405-148016905	chr4	148016405	148016905	Exon (ENSMUST00000137724.7/26372, exon 13 of 23)	15683	Nppa	natriuretic peptide type A
chr4:148518422-148518922	chr4	148518422	148518922	Intron (ENSMUST00000103221.9/56717, intron 30 of 57)	-17962	Angptl7	angiopoietin-like 7
chr4:153245282-153245782	chr4	153245282	153245782	Distal Intergenic	236397	Ajap1	adherens junction associated protein 1
chr4:153989980-153990480	chr4	153989980	153990480	Promoter (<=1kb)	774	Cep104	centrosomal protein 104
chr4:154146366-154146866	chr4	154146366	154146866	Exon (ENSMUST00000030895.11/59002, exon 3 of 12)	3957	Wrap73	WD repeat containing, antisense to Trp73
chr5:3688404-3688904	chr5	3688404	3688904	Distal Intergenic	13228	Ankib1	ankyrin repeat and IBR domain containing 1
chr5:5419046-5419546	chr5	5419046	5419546	Promoter (<=1kb)	766	Cdk14	cyclin dependent kinase 14
chr5:8164337-8164837	chr5	8164337	8164837	Intron (ENSMUST00000050166.13/11496, intron 5 of 29)	-43242	Adam22	a disintegrin and metallopeptidase domain 22
chr5:10478180-10478680	chr5	10478180	10478680	Distal Intergenic	-386349	Gm6455	predicted gene 6455
chr5:14834155-14834655	chr5	14834155	14834655	Intron (ENSMUST00000030691.16/26875, intron 22 of 24)	80198	Gm9758	predicted gene 9758
chr5:19826263-19826763	chr5	19826263	19826763	Intron (ENSMUST00000197354.4/50791, intron 2 of 21)	-80755	Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2
chr5:20579086-20579586	chr5	20579086	20579586	Intron (ENSMUST00000197354.4/50791, intron 16 of 21)	-22911	Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2
chr5:20637615-20638115	chr5	20637615	20638115	Intron (ENSMUST00000197354.4/50791, intron 20 of 21)	35118	Magi2	membrane associated guanylate kinase, WW and PDZ domain containing 2
chr5:21131554-21132054	chr5	21131554	21132054	Exon (ENSMUST00000197733.1/ENSMUST00000197733.1, exon 1 of 1)	-54201	Gsap	gamma-secretase activating protein
chr5:22513392-22513892	chr5	22513392	22513892	Intron (ENSMUST00000135906.7/26429, intron 11 of 12)	14827	Gm15421	ribosomal protein L22 like 1 pseudogene
chr5:28269481-28269981	chr5	28269481	28269981	Distal Intergenic	-23675	Cnpy1	canopy FGF signaling regulator 1
chr5:30127332-30127832	chr5	30127332	30127832	Promoter (<=1kb)	-213	Hadha	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha
chr5:30935092-30935592	chr5	30935092	30935592	Exon (ENSMUST00000202627.1/68567, exon 2 of 2)	4478	Khk	ketohexokinase
chr5:37753284-37753784	chr5	37753284	37753784	Distal Intergenic	16004	Cytl1	cytokine-like 1
chr5:38537896-38538396	chr5	38537896	38538396	Intron (ENSMUST00000005234.12/22388, intron 8 of 14)	-5900	Wdr1	WD repeat domain 1
chr5:38904537-38905037	chr5	38904537	38905037	Distal Intergenic	-27725	Clnk	cytokine-dependent hematopoietic cell linker
chr5:39187430-39187930	chr5	39187430	39187930	Distal Intergenic	-310618	Clnk	cytokine-dependent hematopoietic cell linker
chr5:41044614-41045114	chr5	41044614	41045114	Distal Intergenic	582388	Rab28	RAB28, member RAS oncogene family
chr5:45627825-45628325	chr5	45627825	45628325	Intron (ENSMUST00000016023.8/58227, intron 1 of 15)	-10374	9630001P10Rik	RIKEN cDNA 9630001P10 gene
chr5:46226044-46226544	chr5	46226044	46226544	Distal Intergenic	-293635	4930405L22Rik	RIKEN cDNA 4930405L22 gene
chr5:49310658-49311158	chr5	49310658	49311158	Intron (ENSMUST00000087395.10/80334, intron 1 of 8)	-24999	Kcnip4	Kv channel interacting protein 4
chr5:51825906-51826406	chr5	51825906	51826406	Distal Intergenic	-258180	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
chr5:53948510-53949010	chr5	53948510	53949010	Distal Intergenic	-49489	Stim2	stromal interaction molecule 2
chr5:54005362-54005862	chr5	54005362	54005862	Intron (ENSMUST00000117661.8/116873, intron 1 of 11)	6797	Stim2	stromal interaction molecule 2
chr5:55770463-55770963	chr5	55770463	55770963	Distal Intergenic	1420472	Gm10440	predicted gene 10440
chr5:57905890-57906390	chr5	57905890	57906390	Exon (ENSMUST00000196307.1/ENSMUST00000196307.1, exon 1 of 1)	183681	Pcdh7	protocadherin 7
chr5:61940386-61940886	chr5	61940386	61940886	Distal Intergenic	131570	G6pd2	glucose-6-phosphate dehydrogenase 2
chr5:64722023-64722523	chr5	64722023	64722523	Intron (ENSMUST00000180912.5/ENSMUST00000180912.5, intron 1 of 4)	-80865	Klf3	Kruppel-like transcription factor 3 (basic)
chr5:66798416-66798916	chr5	66798416	66798916	Intron (ENSMUST00000201852.3/77569, intron 1 of 7)	52527	Limch1	LIM and calponin homology domains 1
chr5:72295462-72295962	chr5	72295462	72295962	Exon (ENSMUST00000126664.7/231287, exon 22 of 23)	15415	Atp10d	ATPase, class V, type 10D
chr5:74657790-74658290	chr5	74657790	74658290	Intron (ENSMUST00000113531.8/16924, intron 3 of 12)	19339	Lnx1	ligand of numb-protein X 1
chr5:76373480-76373980	chr5	76373480	76373980	Distal Intergenic	-9692	Nmu	neuromedin U
chr5:76492894-76493394	chr5	76492894	76493394	Intron (ENSMUST00000191515.7/639545, intron 2 of 3)	8563	Exoc1l	exocyst complex component 1 like
chr5:78777198-78777698	chr5	78777198	78777698	Distal Intergenic	1311710	1700017L05Rik	RIKEN cDNA 1700017L05 gene
chr5:80662815-80663315	chr5	80662815	80663315	Distal Intergenic	-356823	Adgrl3	adhesion G protein-coupled receptor L3
chr5:82113209-82113709	chr5	82113209	82113709	Distal Intergenic	9628	1700031L13Rik	RIKEN cDNA 1700031L13 gene
chr5:91209480-91209980	chr5	91209480	91209980	Distal Intergenic	69881	Areg	amphiregulin
chr5:91464784-91465284	chr5	91464784	91465284	Distal Intergenic	-52331	Parm1	prostate androgen-regulated mucin-like protein 1
chr5:92881946-92882446	chr5	92881946	92882446	Intron (ENSMUST00000113055.8/27428, intron 2 of 10)	-15547	Shroom3	shroom family member 3
chr5:92984750-92985250	chr5	92984750	92985250	Distal Intergenic	22711	Shroom3	shroom family member 3
chr5:95896554-95897054	chr5	95896554	95897054	Distal Intergenic	-59897	Cxcl13	C-X-C motif chemokine ligand 13
chr5:95906488-95906988	chr5	95906488	95906988	Distal Intergenic	-49963	Cxcl13	C-X-C motif chemokine ligand 13
chr5:96949877-96950377	chr5	96949877	96950377	Distal Intergenic	28605	Gm8013	predicted gene 8013
chr5:98778524-98779024	chr5	98778524	98779024	Intron (ENSMUST00000080333.7/75784, intron 4 of 5)	-75391	Bmp3	bone morphogenetic protein 3
chr5:101121029-101121529	chr5	101121029	101121529	Distal Intergenic	274612	Gpat3	glycerol-3-phosphate acyltransferase 3
